<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USD000000TOD,1,20131204,100000,33.2300000,33.2775000,33.2250000,33.0100000,9878000
USD000000TOD,1,20131204,100100,33.2620000,33.2620000,33.2500000,32.0900000,7286000
USD000000TOD,1,20131204,100200,33.2480000,33.2550000,33.2465000,33.5600000,9862000
USD000000TOD,1,20131204,100400,33.2550000,33.2600000,33.2500000,32.8800000,5205000
USD000000TOD,1,20131204,100500,33.2550000,33.2655000,33.2550000,33.0600000,11777000
USD000000TOD,1,20131204,100600,33.2625000,33.2630000,33.2575000,33.0800000,8255000
USD000000TOD,1,20131204,100700,33.2615000,33.2620000,33.2570000,32.9400000,9371000
USD000000TOD,1,20131204,100800,33.2555000,33.2600000,33.2550000,32.5600000,6156000
USD000000TOD,1,20131204,100900,33.2570000,33.2610000,33.2570000,33.0500000,2509000
USD000000TOD,1,20131204,100900,33.2570000,33.2610000,33.2570000,33.1700000,2509000
USD000000TOD,1,20131204,101000,33.2600000,33.2650000,33.2580000,33.4400000,4768000
USD000000TOD,1,20131204,101100,33.2615000,33.2615000,33.2580000,32.9700000,1459000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,32.9100000,6183000
USD000000TOD,1,20131204,100900,33.2570000,33.2610000,33.2570000,32.9900000,2509000
USD000000TOD,1,20131204,100900,33.2570000,33.2610000,33.2570000,33.0300000,2509000
USD000000TOD,1,20131204,101000,33.2600000,33.2650000,33.2580000,33.3800000,4768000
USD000000TOD,1,20131204,101100,33.2615000,33.2615000,33.2580000,33.4100000,1459000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.2700000,6183000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.3100000,6183000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.1800000,6183000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.0300000,6183000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,32.9500000,6183000
USD000000TOD,1,20131204,101200,33.2590000,33.2600000,33.2570000,33.0200000,6183000
